en,de,es,fr,gr,it,nl,pl,pt,ru,in
Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox
All apps,Alle Anwendungen,Todas las aplicaciones,Toutes les applications,Όλες οι εφαρμογές,Tutte le applicazioni,Alle apps,Wszystkie aplikacje,Todas as aplicações,Все приложения,Semua Aplikasi
Browser,Browser,Navegador,Navigateur,Περιήγηση,Browser,Browser,Browser,Browser,Браузер,Peramban
Email,E-Mail,Correo electrónico,Courriel,Ηλεκτρονική διεύθυνση,Invia un'e-mail a,E-mail,Email,Email,Email,Email
File manager ,Datei-Manager ,Gestor de archivos ,Gestionnaire de fichiers ,Διαχείριση αρχείων,File manager ,Bestandsmanager ,Menedżer plików ,Gestor de ficheiros ,Менеджер файлов ,Pengelola Berkas
Help ,Hilfe ,Ayuda ,Aide ,Βοήθεια,Aiuto ,Help ,Pomoc ,Ajuda ,Помощь ,Bantuan
Music,Musik,Música,Musique,Μουσική,Musica,Muziek,Muzyka,Música,Музыка,Musik
Run ,Führen Sie  aus. ,Corre ,Courir ,Εκτέλεση,Esegui ,Voer de campagne  uit. ,Biegnij ,Corre ,Запустить ,Jalankan
Terminal,Terminal,Terminal,Terminal,Τερματικό,Terminale,Terminal,Terminal,Terminal,Терминал,Terminal
Look,Siehe,Mira,Regardez,Εμφάνιση,Guarda,Kijk op,Spójrz na,Veja,Посмотреть,Tampilan
Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Конки,Conky
Docks,Docks,Muelles,Docks,Docks,Darsene,Dokken,Doki,Docas,Доки,Docks
Default,Standardmäßig,Por defecto,Par défaut,Προκαθορισμένο,Predefinito,Standaard,Domyślnie,Por defeito,По умолчанию,Setelan Awal
Dockmaker,Dockmaker,Dockmaker,Dockmaker,Dockmaker,Dockmaker,Dockmaker,Dockmaker,Dockmaker,Докмейкер,Dockmaker
Desktop icons,Desktop-Symbole,Iconos de escritorio,Icônes de bureau,Εικονίδια επιφάνειας εργασίας,Icone da tavolo,Bureaupictogrammen,Ikony na pulpicie,Ícones do ambiente de trabalho,Иконки рабочего стола,Ikon Desktop
Monitors,Überwacht,Monitores,Surveille,Έλεγχος,Monitor,Monitoren,Monitory,Monitores,Мониторы,Monitor
Style,Stil,Estilo,Style,Στυλ,Stile,Stijl,Styl,Estilo,Стиль,Gaya
Theme,Thema,Tema,Thème,Θέμα,Tema,Thema,Temat,Tema,Тема,Tema
Toolbar,Symbolleiste,Barra de herramientas,Barre d'outils,Γραμμή εργαλείων,Barra degli strumenti,Werkbalk,Pasek narzędzi,Barra de ferramentas,Панель инструментов,Bilah Alat
Legacy,Vermächtnis,Legado,Héritage,Κληρονομιά,Eredità,Legacy,Dziedzictwo,Legado,Наследие,Legacy
User last,Benutzer zuletzt,El último usuario,Dernier utilisateur,Προηγούμενο,Ultimo utente,De gebruiker blijft,Ostatni użytkownik,Último utilizador,Последний пользователь,Pengguna Terakhir
Wallpaper,Bildschirmhintergrund,Fondo de pantalla,Fond d'écran,Ταπετσαρία,Carta da parati,Behang,Tapeta,Wallpaper,Обои,Wallpaper
Settings,Einstellungen,Ajustes,Paramètres,Ρυθμίσεις,Impostazioni,Instellingen,Ustawienia,Definições,Настройки,Setelan
Configure,Konfigurieren Sie,Configurar,Configurer,Διαμόρφωση,Configurare,Configureer,Konfiguracja,Configurar,Настройка,Konfigurasi
Apps,Anwendungen,Aplicaciones,Apps,Εφαρμογές,Applicazioni,Apps,Apps,Apps,Приложения,Aplikasi
Init,Init,Init,Init,Init,Init,Init,Init,Init,Ините,Init
Keys,Schlüssel,Llaves,Clés,Keys,Tasti,Toetsen,Klucze,Chaves,Ключи,Tombol
Menu,Menü,Menú,Menu,Μενού,Menu,Menu,Menu,Menu,Меню,Menu
Overlay,Überlagerung,Superposición,Superposition,Επικάλυμμα,Sovrapposizione,Overlay,Nakładka,Overlay,Наложение,Lembaran Atas
Startup,Neugründung,Inicio,Startup,Startup,Avvio,Opstarten,Startup,Arranque,Запуск,Memulai
Styles,Stile,Estilos,Styles,Στυλ,Stili,Stijlen,Style,Estilos,Стили,Gaya
Keyboard,Tastatur,Teclado,Clavier,Πληκτρολόγιο,Tastiera,Toetsenbord,Keyboard,Teclado,Клавиатура,Papan Ketik
Traditional look,Traditionelles Aussehen,Aspecto tradicional,Aspect traditionnel,Παραδοσιακή εμφάνιση,Look tradizionale,Traditionele uitstraling,Tradycyjny wygląd,Aspecto tradicional,Традиционный вид,Tampilan Tradisional
"Window, slit, toolbar","Fenster, Schlitz, Symbolleiste","Ventana, rendija, barra de herramientas","Fenêtre, fente, barre d'outils","Παράθυρο, σχισμή, γραμμή εργαλείων","Finestra, fessura, barra degli strumenti","Venster, spleet, werkbalk","Okno, szczelina, pasek narzędzi","Janela, fenda, barra de ferramentas","Окно, щель, панель инструментов","Jendela, Celah, Bilah"
Out of sight,Außer Sichtweite,Fuera de la vista,A l'abri des regards,Κρυμμένα,Lontano dagli occhi,Uit het zicht,Poza zasięgiem wzroku,Fora de vista,С глаз долой,Diluar Pandangan
Kill dock            ,Killdock            ,Muelle de la muerte            ,Quai d'extinction            ,Τερματισμός dock,Kill dock            ,Dodendok            ,Kill dock            ,Cais da matança            ,док-убийца            ,Matikan Docks
Kill a window        ,Ein Fenster töten        ,Matar una ventana        ,Tuer une fenêtre        ,Τερματισμός παραθύρου,Uccidere una finestra        ,Dood een venster        ,Zabić okno        ,Matar uma janela        ,Убить окно        ,Matikan Jendela
Toggle conky         ,Umschalten conky         ,Cambiar conky...         ,Toggle conky         ,Εναλλαγή conky         ,Attivare e disattivare il conky         ,Schakelen tussen conky         ,Kostka do przełączania         ,Alternar conky         ,Тугл-конки         ,Tombol on/off Conky
Toggle iDesk         ,iDesk umschalten         ,Cambiar el iDesk         ,Basculer l'iDesk         ,Εναλλαγή iDesk         ,Attivare e disattivare l'iDesk         ,Schakel iDesk         ,Przełączanie iDesk         ,Toggle iDesk         ,Toggle iDesk         ,Tombol on/off iDesk
Toggle icons         ,Symbole umschalten         ,Iconos de conmutación         ,Icônes de basculement         ,Εναλλαγή εικονιδίων       ,Icone a levetta         ,Schakelen tussen pictogrammen         ,Ikony do przełączania         ,Alternar ícones         ,переключающиеся иконки         ,Tombol on/off ikon
Toggle autohide dock ,Autohide-Dock umschalten ,Cambiar el muelle de auto-ocultación ,Basculer le quai autohide ,Εναλλαγή autohide dock ,Attivare il dock autohide ,Schakelaar voor autodokker ,Przełączyć autohide dok ,Alternar a doca de autoculto ,Тоггл-автохидный док ,Tombol on/off Sembunyi otomatis Dock
Toggle autohide toolbar,Umschalten der Autohide-Werkzeugleiste,Cambiar la barra de herramientas de auto-ocultación,Barre d'outils de masquage automatique,Εναλλαγή autohide toolbar,Attivare e disattivare la barra degli strumenti autohide,Schakel de autohide-werkbalk in,"Przełączany, automatyczny pasek narzędzi",Alternar a barra de ferramentas de autoculto,Переключить автоматическую панель инструментов,Tombol on/off Sembunyi Otomatis Bilah Alat
Toggle monitors      ,Monitore umschalten      ,Cambiar los monitores...      ,Basculer les moniteurs      ,Εναλλαγή monitors      ,Monitor a levetta      ,Schakelen tussen de monitoren      ,Monitory przełączające      ,Monitores Toggle      ,Тумблерные мониторы      ,Tombol on/off Monitor
Disable default dock ,Standard-Dock deaktivieren ,Deshabilitar el acoplamiento por defecto ,Désactiver le dock par défaut ,Απενεργοποίηση προεπιλεγμένο dock ,Disattivare il dock di default ,Standaard dok uitschakelen ,Wyłączenie domyślnego doku ,Desactivar a doca por defeito ,Отключить стандартную док-станцию ,Matikan Setelan Bawaan Dock
Leave,Verlassen Sie,Deje,Quitter,Εξοδος,Lascia,Verlaat,Wyjdź,Sair,Оставить,Tinggalkan
Refresh,Aktualisieren Sie,Actualizar,Rafraîchir,Ανανέωση,Aggiorna,Vernieuwen,Odświeżyć,Actualização,Обновить,Segarkan
Suspend,aussetzen,Suspender,Suspendre,Αναστολή,Sospendi,Schorsen,Zawiesić,Suspendam,Приостановить,Menangguhkan
Logout,Abmeldung,Cierre de sesión,Déconnexion,Αποσύνδεση,Logout,Uitloggen,Logout,Sair,Выход из системы,Keluar
Reboot,Neustart,Reiniciar,Redémarrer,Επανεκκινήση,Riavvio,Herstart,Reboot,Reinicialização,Перезагрузить,Mulai Ulang/Restart
Shutdown,Herunterfahren,Apagado,Fermeture,Τερματισμός,Spegnimento,Uitschakeling,Zamknięcie,Encerramento,Отключение,Matikan
